created_at,file_name,followers,friends,group_name,location,retweet_count,screenname,search_query,text,twitter_id,username,polarity,partition_0,partition_1
2020-07-22 13:06:10,Uganda,4401,995,Uganda,Entebbe | Kigezi | Kisaasi,11,Eric_Of_1691,#Uganda,"RT @chapterfourug: In our second #HRCMediaSeries, we're thrilled to announce that @Nanjala1 will be in conversation with @Opiaiya tomorrow…",,,,,
2020-07-22 13:03:45,Uganda,1176,1382,Uganda,Berlin,3,CSDSO,#Uganda,RT @HumanDignityT: All power to @hrapf_uganda @jjuukoa &amp,,,,,
2020-07-22 13:03:10,Uganda,3436,2983,Uganda,"Mbale, Uganda",58,ejobi_eto,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
2020-07-22 13:03:02,Uganda,77953,1105,Uganda,Uganda,0,ChimpReports,#Uganda,"Ministry of Health, Church of Uganda in Joint Fight against Malaria, #COVID19 #ChimpReportsNews #UgandaNews #Uganda #Featured @MinofHealthUG @DianaAtwine @ChurchofUganda @Archbishop_COU #StaySafeUG #Tonsemberera #SocialDistance #FaceMasks #WearAMask #News  https://t.co/8Gf97nNeBP https://t.co/J2UxksoFH4",,,,,
2020-07-22 12:59:52,Uganda,1036,783,Uganda,London,2,OzmaLionheart,#Uganda,RT @electricbrolly: 1 ZOOM SHOW When Georgia in #Norfolk meets friends in #Uganda wearing the same T-shirt &amp,,,,,
2020-07-22 12:59:43,Uganda,1430,597,Uganda,Uganda - Kampala,0,robert_kwesiga,#Uganda,@MinofHealthUG emphasises handwashing as one of the ways to fight the spread of the #coronavirus in #Uganda. Thanks to @UgandaRedCross for implementing these SOPs especially at Points of entry which are one of the high risk areas. @JaneRuth_Aceng @DianaAtwine @ifrc @IFRCAfrica https://t.co/aHcWu9eZPR,,,,,
2020-07-22 12:57:47,Uganda,1508,1051,Uganda,In the stream.,0,jamespropa,#Uganda,Young people oppressing fellow young people in #Uganda. OTT tax and now crazy regulations targeting musicians. It shouldn't be young people bringing forward such crazy regulations. Nooooo!,,,,,
2020-07-22 12:57:36,Uganda,23,26,Uganda,London UK - Uganda,0,Iamjasonlife,#Uganda,"Nothing is sexier than your partner who can face temptation and have the level of maturity to say, ""this isn’t worth losing what I have.""👌  My Ugandan Queen👑  Love to you Queens from #Uganda ❤✊🙏 https://t.co/K8fo1m4XLX",,,,,
2020-07-22 12:56:55,Uganda,1196,1514,Uganda,,2,Jkay_Junster1,#Uganda,"RT @Nuwaherezaflor1: Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/tsSPsOdpo7  #NowPlaying King of The…",,,,,
2020-07-22 12:56:30,Uganda,1094,1279,Uganda,Uganda,0,ariongm,#Uganda,"""A child born today in #Uganda is expected to complete only 7 years of education by age 18, compared to a regional average of 8.1."" A report by the @WorldBank showing the need for investment in #education @TEACH4UG  @Rwakakamba @samagona @OgwangOgwang https://t.co/l0kXokZqc7",,,,,
2020-07-22 12:56:17,Uganda,1913,2175,Uganda,"Kampala, Uganda",58,boldandsobering,#Uganda,"RT @observerug: Will Buganda Kingdom deliver low-cost #housing? While a house in the Kigo project costs at least Shs 300m, someone will be…",,,,,
2020-07-22 12:56:00,Uganda,175,10,Uganda,Somalia,0,BaidoaU,#Uganda,"Richard Karemire,spokesman for the #Uganda People's Defense Forces (UPDF),told the media that they have prepared a number of aircraft to support #AMISOM forces in Somalia.He said the importance of the  aircraft would be to supply supplies to all AMISOM forces deployed in #Somalia",,,,,
2020-07-22 12:55:40,Uganda,77953,1105,Uganda,Uganda,0,ChimpReports,#Uganda,"#Kampala: Police Arrests Woman Who Sedates, Robs Men #ChimpReportsNews #UgandaNews #Uganda #Featured #crime #current @metpoliceug @PoliceUg #StaySafeUG #Tonsemberera #COVID19 #SocialDistance #FaceMasks #WearAMask #WednesdayMotivation #News  https://t.co/gxOU6YBope https://t.co/jcupHu5YUL",,,,,
2020-07-22 12:53:45,Uganda,106050,3159,Uganda,"East Africa, Uganda",2,McPallaso,#Uganda,"RT @Nuwaherezaflor1: Let's take things to #Uganda with  @McPallaso , L &amp; R Stardust Label https://t.co/tsSPsOdpo7  #NowPlaying King of The…",,,,,
2020-07-22 12:53:41,Uganda,4342,173,Uganda,Kampala Uganda,0,PSF_Uganda,#Uganda,"The #YoungAfricaWorks launch in #Uganda is happening tomorrow Thursday, 23rd July from 2.30-4.30pm   Tune in @nbstv and Don’t miss to learn about available opportunities for young people in; Agriculture, Tourism &amp; Hospitality, Construction &amp; Housing  #YouthTukole https://t.co/yuaaSMAFxL",,,,,
2020-07-22 12:52:06,Uganda,99,269,Uganda,,3,AhmadiyyaKings1,#Uganda,RT @AhmadiyyaUg: Gen. Sec. #Uganda #Ahmadiyya Muslim Community Sh. Adam Hamid &amp,,,,,
2020-07-22 12:51:22,Uganda,16,190,Uganda,Kiboga District,0,PrimoSsenyondo,#Uganda,"Drinking water and adequate #Sanitation are fundamental to human health and well-being. Water related diseases are among the most common causes of illnesses and deaths, affecting mainly the poor in my country #Uganda. People die from preventable diseases. #StayHealthy",,,,,
2020-07-22 12:48:41,Uganda,3723,4793,Uganda,"Kampala, Uganda",2,dickson_namisi,#Uganda,RT @ChimpReports: @MinofHealthUG Flags Off Second #COVID19 Rapid Assessment Survey Team as Museveni Eases #Lockdown  #ChimpReportsNews #Uga…,,,,,
2020-07-22 12:48:22,Uganda,8048,475,Uganda,"London, India, Uganda",2,STIReducation,#Uganda,RT @Camb_Ed: We're keeping children in #Uganda learning during #COVID19 by broadcasting literacy and numeracy radio lessons. Find out more…,,,,,
2020-07-22 12:48:21,Uganda,7391,2635,Uganda,,0,JDevermont,#Uganda,"On this day in history, U.S. analysts discussed efforts by #Tanzania, #Uganda, and #Zambia to press the UK not to resume arms sales to South Africa. Nyerere, the analysts shared, threatened to leave Commonwealth if the British lift the arms embargo. https://t.co/0rmBwcfKy0",,,,,
